,number,ca,name,material,location,culture,time,img
46,247,4,"The Kiss, Gustav Klimt",oil and gold leaf on canvas,Austria,French Symbolism,1907 CE,https://i.icanvas.com/304?d=2&sh=v&p=1&bg=g&t=1634578276
47,248,4,"The Kiss, Constantin Brancusi",limestone,France,French Modernism,1907 CE,https://sites.google.com/site/adairarthistory/_/rsrc/1491224208019/iv-later-europe-and-americas/129-the-kiss-constantin-brancusi/highlight_1.jpg
48,249,0,"Sagrada Familia, Gaudi","stone, stained glass, mosaic",Spain,Spanish Art Nouveau,1908 CE,https://upload.wikimedia.org/wikipedia/commons/2/26/%CE%A3%CE%B1%CE%B3%CF%81%CE%AC%CE%B4%CE%B1_%CE%A6%CE%B1%CE%BC%CE%AF%CE%BB%CE%B9%CE%B1_2941.jpg
49,250,6,"Veranda post of enthroned king and senior wife, Olowe of Ise",wood and pigment,Africa,Yoruba peoples,1910 CE,https://lh5.ggpht.com/8CYuRBesCOnxj8hGdIV64cFKlw1iWZmd9DVkiG4k9bILt4MD_0UOL-Tp9oKBEw=s1200
50,251,4,"The Portugese, Georges Braques",oil on canvas,France,French Cubism,1911 CE,https://cdn.kastatic.org/ka-perseus-images/0ffbf4448d96d7d812e983c910710f513112360f.jpg
51,252,4," Goldfish, Henri Matisse",oil on canvas,France,French Fauvism,1912 CE,https://secure.img1-fg.wfcdn.com/im/44396271/resize-h755-w755%5Ecompr-r85/1386/138610863/Goldfish+1911+by+Henri+Matisse+-+Wrapped+Canvas+Painting+Print.jpg
52,253,4,"Improvisation 28, Vassily Kandinsky",oil on canvas,Germany,German Abstract Expressionism,1912 CE,https://www.guggenheim.org/wp-content/uploads/1912/01/37.239_ph_web-1.jpg
53,254,4,"Self Portrait as a Soldier, Ernst Ludwig Kirchner",oil on canvas,Germany,German Abstract Expressionism,1915 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Kirchner_-_Selbstbildnis_als_Soldat.jpg/270px-Kirchner_-_Selbstbildnis_als_Soldat.jpg
54,255,4,"Fountain, Marcel Duchamp",readymade glazed sanitary china with black paint,United States,French Dada,1917 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Marcel_Duchamp%2C_1917%2C_Fountain%2C_photograph_by_Alfred_Stieglitz.jpg/1200px-Marcel_Duchamp%2C_1917%2C_Fountain%2C_photograph_by_Alfred_Stieglitz.jpg
55,256,4,"Memorial Sheet for Karl Liebknecht, Kathe Kollwitz",woodcut  ,Germany,German Abstract Expressionism,1919 CE,https://cdn.kastatic.org/ka-perseus-images/c746c8c11da7f3f67c842b0dfd47c23c346b3788.jpg
56,257,0,"The Treachery of Images, Magritte",oil on canvas,France,French Surrealism,1928 CE,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/MagrittePipe.jpg/270px-MagrittePipe.jpg
57,258,4,"Villa Savoye, Le Corbusier",steel and reinforced concrete,"Poissy-sur-Seine, France",International style,1929 CE,https://cdn.kastatic.org/ka-perseus-images/889d4b84b5d369689745b2441c7427e07089bef5.jpg
58,259,0,"Jack-in-the-Pulpit No 4, O'Keeffe",oil on canvas,United States,American Modernism,1930 CE,"https://media.nga.gov/iiif/9fab4efe-ca41-4768-b6a5-1035c4ebfb28/full/!588,600/0/default.jpg"
59,260,4,"Composition with Red, Blue and Yellow, Piet Mondrian",oil on canvas,France,Destijl,1930 CE,https://cdn.kastatic.org/ka-perseus-images/f832e28211a5c9793935b60e12c9cb53d555a391.jpg
60,261,0,"The Persistance of Memory, Dali",oil on canvas,Spain,Spanish Surrealism,1931 CE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQy9xbQ3RPC6E04BlP_WAG9CxyPneWTW4Mp2PBjd-GNOTsxmVNEiqnRTYdevTSyYTc0i4&usqp=CAU
